일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2021/12/30","2977.65","-15.64","-0.52","2999.75","3005.36","2975.74","461038202","8727458062998","2203366545861792"
"2021/12/29","2993.29","-26.95","-0.89","3002.90","3007.72","2988.67","545831859","10908667230981","2215462631908994"
"2021/12/28","3020.24","20.69","0.69","3006.77","3020.29","2991.55","607046190","12096893607293","2237623537207572"
"2021/12/27","2999.55","-12.88","-0.43","3013.94","3017.31","2999.30","475363053","8280394735651","2221527069263787"
"2021/12/24","3012.43","14.26","0.48","3009.48","3025.77","3009.48","537548258","8583472759012","2230019405753961"
"2021/12/23","2998.17","13.69","0.46","2998.02","3000.70","2980.91","483838948","9319626829913","2218653456865532"
"2021/12/22","2984.48","9.45","0.32","2993.50","3000.79","2976.65","461755372","8835649524455","2208300470743887"
"2021/12/21","2975.03","12.03","0.41","2981.67","2984.56","2955.90","410979633","9108501429680","2200896109564335"
"2021/12/20","2963.00","-54.73","-1.81","3001.33","3001.33","2962.07","377584565","8621305733909","2191456183748063"
"2021/12/17","3017.73","11.32","0.38","2985.20","3017.73","2984.19","451824159","11650002805031","2231055479151033"
"2021/12/16","3006.41","17.02","0.57","3013.26","3018.20","2989.63","402825154","8524314062950","2223256395913792"
"2021/12/15","2989.39","1.44","0.05","2979.83","2992.30","2973.00","432874423","8253059437129","2210896374852491"
"2021/12/14","2987.95","-13.71","-0.46","2983.95","3001.70","2976.16","581569904","9856789517126","2209778033875157"
"2021/12/13","3001.66","-8.57","-0.28","3019.67","3043.83","3000.51","375828375","8629448910198","2219441356915143"
"2021/12/10","3010.23","-19.34","-0.64","3008.70","3017.64","2998.29","451599491","8434890985993","2225643249770856"
"2021/12/09","3029.57","27.77","0.93","3007.00","3029.57","3001.55","513445799","12614031150535","2238777012136812"
"2021/12/08","3001.80","10.08","0.34","3017.93","3036.13","2995.34","488246121","11115220654811","2218153437117398"
"2021/12/07","2991.72","18.47","0.62","2973.84","2992.31","2960.90","541370062","10215647036599","2211216990567170"
"2021/12/06","2973.25","4.92","0.17","2954.82","2983.50","2932.49","479907913","9657402253160","2197379063665010"
"2021/12/03","2968.33","23.06","0.78","2935.93","2975.44","2927.55","486749001","10344372944198","2192835466339470"
"2021/12/02","2945.27","45.55","1.57","2874.64","2945.27","2874.64","534461669","11918441491698","2176914270109684"
"2021/12/01","2899.72","60.71","2.14","2860.12","2905.74","2837.03","563927192","12534484740158","2143338151523723"
"2021/11/30","2839.01","-70.31","-2.42","2932.71","2942.93","2822.73","983556318","19852270868593","2095821072303233"
"2021/11/29","2909.32","-27.12","-0.92","2906.15","2930.22","2890.78","844400434","13092783140665","2148359052554220"
"2021/11/26","2936.44","-43.83","-1.47","2973.04","2985.77","2930.31","595597647","11901297731572","2167444597231403"
"2021/11/25","2980.27","-14.02","-0.47","2996.74","2996.74","2973.24","595969686","9401090529106","2199950623164321"
"2021/11/24","2994.29","-3.04","-0.10","3006.34","3017.90","2981.02","556640473","10963458592619","2210804289074574"
"2021/11/23","2997.33","-15.92","-0.53","3013.16","3016.36","2992.14","524233416","10830503621150","2213806547623649"
"2021/11/22","3013.25","42.23","1.42","2983.38","3018.01","2980.73","530959176","12945532600397","2225325424858351"
"2021/11/19","2971.02","23.64","0.80","2951.06","2974.64","2948.07","657093788","11002168877105","2192237374729624"
"2021/11/18","2947.38","-15.04","-0.51","2959.26","2964.48","2937.53","541652823","10119317376788","2173103104811822"
"2021/11/17","2962.42","-34.79","-1.16","3004.02","3004.67","2957.70","541489534","10661680483275","2183852304105739"
"2021/11/16","2997.21","-2.31","-0.08","2995.68","3011.88","2985.34","579646335","11101212743890","2208638226067564"
"2021/11/15","2999.52","30.72","1.03","2989.68","3003.71","2979.96","639395683","11402053251342","2207950545172823"
"2021/11/12","2968.80","43.88","1.50","2945.95","2973.84","2938.27","665733196","12472956374638","2185439467790075"
"2021/11/11","2924.92","-5.25","-0.18","2911.41","2925.19","2903.72","572859058","13468395643103","2153082343088190"
"2021/11/10","2930.17","-32.29","-1.09","2947.46","2958.61","2924.36","570931752","9663221463613","2157022729552783"
"2021/11/09","2962.46","2.26","0.08","2958.15","2987.28","2949.17","708773471","9684977252764","2180787959345307"
"2021/11/08","2960.20","-9.07","-0.31","2965.36","2968.18","2930.90","560205356","10388089493103","2178020380431059"
"2021/11/05","2969.27","-13.95","-0.47","3003.53","3003.53","2953.96","688027918","12669722983462","2185189385744004"
"2021/11/04","2983.22","7.51","0.25","3000.92","3011.56","2978.07","772023904","14658519584987","2195428830265029"
"2021/11/03","2975.71","-37.78","-1.25","3020.36","3020.87","2969.01","658648364","12438267928860","2189540503438221"
"2021/11/02","3013.49","34.55","1.16","2995.58","3034.30","2995.58","525853038","9662968105172","2191376531144535"
"2021/11/01","2978.94","8.26","0.28","2984.18","2991.81","2976.87","475382111","9410799387549","2166070209519305"
"2021/10/29","2970.68","-38.87","-1.29","3025.67","3030.17","2965.40","545833755","11035682384856","2159375927406380"
"2021/10/28","3009.55","-15.94","-0.53","3023.17","3034.42","3009.55","617256798","12367618427652","2188063339084740"
"2021/10/27","3025.49","-23.59","-0.77","3045.83","3049.02","3019.00","607875370","10220672977011","2198753266106801"
"2021/10/26","3049.08","28.54","0.94","3039.82","3051.65","3030.53","564559805","9512681741122","2215757779840433"
"2021/10/25","3020.54","14.38","0.48","3001.10","3025.27","2983.29","791795966","10489293804156","2194484567353427"
"2021/10/22","3006.16","-1.17","-0.04","3005.36","3018.70","2996.26","695272936","9047262545950","2184542201010108"
"2021/10/21","3007.33","-5.80","-0.19","3012.28","3025.88","3002.74","887369794","10572398217802","2185679891266018"
"2021/10/20","3013.13","-15.91","-0.53","3043.13","3047.24","3012.97","680326898","11178213476930","2191094043358948"
"2021/10/19","3029.04","22.36","0.74","3022.23","3034.53","3014.19","845703531","10112026428717","2202301797123014"
"2021/10/18","3006.68","-8.38","-0.28","3017.48","3021.17","2990.44","926369474","10649948958411","2186010001816397"
"2021/10/15","3015.06","26.42","0.88","3012.62","3021.90","2999.33","857797842","12540973320207","2192125724879263"
"2021/10/14","2988.64","44.23","1.50","2968.87","2988.97","2962.33","617170079","12064564380622","2172764571489626"
"2021/10/13","2944.41","28.03","0.96","2913.34","2953.33","2909.47","752132429","12294514171307","2141374217004803"
"2021/10/12","2916.38","-39.92","-1.35","2950.22","2950.94","2901.51","660180934","12767649889473","2120560982087749"
"2021/10/08","2956.30","-3.16","-0.11","2977.82","2978.08","2949.01","668946781","12634091306885","2150115811292973"
"2021/10/07","2959.46","51.15","1.76","2936.87","2961.53","2927.60","595381702","11906736775955","2151410767360809"
"2021/10/06","2908.31","-53.86","-1.82","2986.06","2993.47","2908.30","901721943","15668592169787","2114932681003113"
"2021/10/05","2962.17","-57.01","-1.89","2998.17","2998.17","2940.59","840557005","15315537326790","2153672546490338"
"2021/10/01","3019.18","-49.64","-1.62","3056.21","3062.60","3015.01","855481955","12944006323787","2195489101771914"
"2021/09/30","3068.82","8.55","0.28","3054.87","3079.43","3046.43","885818713","14942853884792","2231957338378780"
"2021/09/29","3060.27","-37.65","-1.22","3055.50","3069.04","3030.60","821557926","15137007962920","2226722696682185"
"2021/09/28","3097.92","-35.72","-1.14","3133.40","3134.46","3095.72","894913170","14658731286208","2254315886464543"
"2021/09/27","3133.64","8.40","0.27","3121.70","3146.35","3119.26","883229339","12266966973757","2279894817910380"
"2021/09/24","3125.24","-2.34","-0.07","3140.73","3146.86","3119.40","753222478","12558236431734","2273591460336983"
"2021/09/23","3127.58","-12.93","-0.41","3123.64","3131.63","3107.98","623841308","14009138133250","2275325269712385"
"2021/09/17","3140.51","10.42","0.33","3127.75","3142.13","3112.51","589244026","14937657948864","2284484860912835"
"2021/09/16","3130.09","-23.31","-0.74","3165.38","3167.68","3126.65","612873472","12259518128260","2267220040394942"
"2021/09/15","3153.40","4.57","0.15","3147.21","3164.01","3138.80","616557070","12162693523272","2284157740769828"
"2021/09/14","3148.83","20.97","0.67","3137.32","3164.31","3137.32","713227276","15787292366491","2280258288758879"
"2021/09/13","3127.86","2.10","0.07","3117.35","3139.13","3109.01","732269520","13505433023679","2264159333328919"
"2021/09/10","3125.76","11.06","0.36","3121.09","3131.54","3103.38","723085303","13566490029242","2262866816661640"
"2021/09/09","3114.70","-48.29","-1.53","3146.64","3158.60","3111.49","927368577","17787104851733","2256111111642365"
"2021/09/08","3162.99","-24.43","-0.77","3178.74","3187.55","3157.07","859889326","17302711069208","2290248707246099"
"2021/09/07","3187.42","-15.91","-0.50","3200.07","3201.76","3176.81","760159709","11943337187144","2306637033277544"
"2021/09/06","3203.33","2.27","0.07","3196.30","3206.25","3186.79","726190124","12313477364484","2318348873606184"
"2021/09/03","3201.06","25.21","0.79","3189.71","3203.08","3181.64","641510055","13110992029700","2315800431016042"
"2021/09/02","3175.85","-31.17","-0.97","3198.03","3204.01","3171.78","757859615","15378375212484","2297103341723483"
"2021/09/01","3207.02","7.75","0.24","3195.67","3215.13","3185.80","746705227","13537907689214","2317655771978632"
"2021/08/31","3199.27","55.08","1.75","3144.49","3199.89","3130.30","661221167","15863630339895","2309062612929983"
