일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2015/12/30","1961.31","-5.00","-0.25","1973.03","1974.67","1958.78","304462557","3706627074039","1242832089300653"
"2015/12/29","1966.31","2.25","0.11","1956.49","1968.57","1946.21","401427811","3798204040372","1245674313177993"
"2015/12/28","1964.06","-26.59","-1.34","1990.59","1991.19","1964.06","396643345","3840599935273","1245487965808364"
"2015/12/24","1990.65","-8.57","-0.43","2009.34","2009.99","1990.65","504620251","3617394939248","1260855413891813"
"2015/12/23","1999.22","6.66","0.33","1994.20","2007.42","1989.30","502366908","4345762972372","1266100582803227"
"2015/12/22","1992.56","11.37","0.57","1984.37","1992.72","1971.32","577235960","4181139694830","1261894715588796"
"2015/12/21","1981.19","5.87","0.30","1974.26","1986.66","1968.14","539596342","3594694758029","1254807195393039"
"2015/12/18","1975.32","-2.64","-0.13","1960.32","1981.42","1958.12","677729276","4218016353588","1251129345899042"
"2015/12/17","1977.96","8.56","0.43","1984.06","1987.83","1967.64","379574441","3923863924918","1253042882401679"
"2015/12/16","1969.40","36.43","1.88","1950.15","1975.63","1950.05","475097799","4306030745676","1247470363814194"
"2015/12/15","1932.97","5.15","0.27","1935.82","1938.04","1925.75","434738143","3643731877305","1224352613534090"
"2015/12/14","1927.82","-20.80","-1.07","1926.36","1930.40","1919.22","439741137","4272255295893","1221052367813966"
"2015/12/11","1948.62","-3.45","-0.18","1952.82","1961.00","1943.67","380713338","4126570068525","1234143721580729"
"2015/12/10","1952.07","3.83","0.20","1947.21","1956.84","1940.40","377848904","4699412561568","1236360403734402"
"2015/12/09","1948.24","-0.80","-0.04","1951.39","1956.70","1944.78","378094860","3690506105777","1234234603685559"
"2015/12/08","1949.04","-14.63","-0.75","1964.22","1971.07","1948.43","406175712","3632715184747","1234740685883409"
"2015/12/07","1963.67","-10.73","-0.54","1987.62","1988.04","1963.66","382132568","3396772891190","1245865766388498"
"2015/12/04","1974.40","-19.67","-0.99","1972.16","1983.02","1970.48","379466160","3297514568212","1253193061881364"
"2015/12/03","1994.07","-15.22","-0.76","2000.20","2000.20","1981.59","365870193","3515393235771","1265264412281523"
"2015/12/02","2009.29","-14.64","-0.72","2026.08","2026.19","2009.29","631315438","4415989870337","1275060981895569"
"2015/12/01","2023.93","31.96","1.60","2001.51","2026.33","2001.51","573342047","4902801521694","1284539542015163"
"2015/11/30","1991.97","-37.02","-1.82","2022.38","2022.38","1987.12","452865672","6538489565126","1263656186094137"
"2015/11/27","2028.99","-1.69","-0.08","2038.71","2038.72","2026.40","481950731","4005775957648","1286995052434746"
"2015/11/26","2030.68","21.26","1.06","2014.88","2033.18","2014.88","454457028","4428687351720","1288215418435076"
"2015/11/25","2009.42","-6.87","-0.34","2018.24","2018.93","2007.91","391646844","4256142034047","1274840957402755"
"2015/11/24","2016.29","12.59","0.63","2004.29","2019.95","2003.06","417004991","4362320576801","1279475820345382"
"2015/11/23","2003.70","13.84","0.70","1995.92","2008.34","1992.86","383231287","4481648875024","1271487515525194"
"2015/11/20","1989.86","0.95","0.05","1988.96","1993.97","1985.93","413655534","4032700517501","1263182529794386"
"2015/11/19","1988.91","26.03","1.33","1976.94","1988.92","1972.85","422517109","5130496905830","1263302131398129"
"2015/11/18","1962.88","-0.70","-0.04","1967.25","1973.16","1961.43","541860392","4611918225179","1245925942874602"
"2015/11/17","1963.58","20.56","1.06","1967.36","1974.08","1959.22","417559031","4510065530020","1245962998448357"
"2015/11/16","1943.02","-30.27","-1.53","1945.68","1956.09","1942.85","433426963","5358919017447","1232730117581303"
"2015/11/13","1973.29","-20.07","-1.01","1975.97","1981.27","1969.71","342313279","4261918022931","1251364867132573"
"2015/11/12","1993.36","-3.91","-0.20","1997.32","1998.66","1991.28","389444874","3492604151269","1263875640146870"
"2015/11/11","1997.27","0.68","0.03","1993.81","2001.73","1983.14","286567438","3874411759413","1266240860287968"
"2015/11/10","1996.59","-29.11","-1.44","2015.45","2015.45","1988.54","417457999","5734869668851","1265046203032787"
"2015/11/09","2025.70","-15.37","-0.75","2038.59","2038.59","2022.52","435389315","6058317575442","1283538895223514"
"2015/11/06","2041.07","-8.34","-0.41","2048.17","2055.14","2038.46","465030345","4590162265442","1293197658959004"
