일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2023/12/28","2655.28","41.78","1.60","2616.27","2655.28","2611.72","460086621","9418929602384","2126372515851046"
"2023/12/27","2613.50","10.91","0.42","2599.35","2613.50","2590.08","349733378","10359763878782","2093997127111758"
"2023/12/26","2602.59","3.08","0.12","2609.44","2612.14","2594.65","440428129","9582765574870","2085608165140366"
"2023/12/22","2599.51","-0.51","-0.02","2617.72","2621.37","2599.51","465967201","8848287882829","2082855844704432"
"2023/12/21","2600.02","-14.28","-0.55","2598.37","2610.81","2587.16","578334789","9467808991589","2080482827882262"
"2023/12/20","2614.30","45.75","1.78","2586.99","2615.38","2584.85","570423377","11202542825393","2091168204270216"
"2023/12/19","2568.55","1.69","0.07","2564.81","2570.06","2556.52","392497373","8418110713633","2054764998811186"
"2023/12/18","2566.86","3.30","0.13","2568.77","2573.13","2556.05","384828383","10181567999906","2053934297383476"
"2023/12/15","2563.56","19.38","0.76","2558.44","2574.23","2555.30","465313553","12873295143562","2052134143905219"
"2023/12/14","2544.18","33.52","1.34","2547.74","2549.65","2532.16","530123485","12960670969677","2036471107001660"
"2023/12/13","2510.66","-24.61","-0.97","2531.23","2531.23","2509.89","377934427","7513616958089","2010099879260123"
"2023/12/12","2535.27","9.91","0.39","2535.11","2543.06","2529.74","378033628","7732529685587","2029469553428360"
"2023/12/11","2525.36","7.51","0.30","2524.79","2528.89","2512.45","435003610","8260507908287","2021014751891689"
"2023/12/08","2517.85","25.78","1.03","2510.24","2521.58","2507.14","431796634","7916793470777","2014785074596234"
"2023/12/07","2492.07","-3.31","-0.13","2493.14","2499.73","2481.00","446877270","8127635646232","1993881026629665"
"2023/12/06","2495.38","1.10","0.04","2503.57","2509.67","2495.38","390989432","7685319935995","1996748972275817"
"2023/12/05","2494.28","-20.67","-0.82","2507.45","2509.74","2492.55","427066848","8300521654842","1995841254871312"
"2023/12/04","2514.95","9.94","0.40","2522.22","2525.63","2510.52","498860818","8772366761173","2012605764241432"
"2023/12/01","2505.01","-30.28","-1.19","2520.49","2520.49","2504.06","516596238","8837749634076","2004297452965198"
"2023/11/30","2535.29","15.48","0.61","2512.11","2535.29","2507.80","664284035","11992488473054","2027777361360739"
"2023/11/29","2519.81","-1.95","-0.08","2518.80","2523.98","2501.44","579271100","9428200342491","2015729696100694"
"2023/11/28","2521.76","26.10","1.05","2506.14","2522.45","2502.26","443089715","8753423571555","2017729235777969"
"2023/11/27","2495.66","-0.97","-0.04","2501.83","2511.37","2489.18","364743731","8376475664368","1994294784796634"
"2023/11/24","2496.63","-18.33","-0.73","2517.88","2521.56","2496.63","359382702","6537960544304","1995161445843404"
"2023/11/23","2514.96","3.26","0.13","2515.83","2522.20","2507.30","360873812","6577868002160","2009135899576999"
"2023/11/22","2511.70","1.28","0.05","2493.17","2516.72","2490.43","439485471","7755315532472","2006109849579441"
"2023/11/21","2510.42","19.22","0.77","2504.70","2517.74","2500.91","345054695","7713376763040","2005723541732152"
"2023/11/20","2491.20","21.35","0.86","2464.72","2499.75","2464.04","323806345","6586444840432","1990537959330634"
"2023/11/17","2469.85","-18.33","-0.74","2477.43","2481.10","2463.59","388973752","8129523115949","1974347791077874"
"2023/11/16","2488.18","1.51","0.06","2483.48","2491.98","2472.69","407440839","6806413707780","1985488314205202"
"2023/11/15","2486.67","53.42","2.20","2482.21","2487.42","2468.43","419843260","9328219011281","1984033040962156"
"2023/11/14","2433.25","29.49","1.23","2424.93","2442.37","2422.97","306963703","6382101015771","1942197247569901"
"2023/11/13","2403.76","-5.90","-0.24","2431.24","2435.32","2399.04","307123090","5934172518663","1918619318859373"
"2023/11/10","2409.66","-17.42","-0.72","2406.40","2413.62","2393.64","312467956","5825602011829","1923177297058820"
"2023/11/09","2427.08","5.46","0.23","2425.93","2437.90","2413.04","395030998","7288448335831","1933622735939370"
"2023/11/08","2421.62","-22.34","-0.91","2460.22","2468.43","2418.14","467217484","7667332335588","1929362639610315"
"2023/11/07","2443.96","-58.41","-2.33","2476.35","2476.35","2418.74","457675546","12086569930572","1947075246916667"
"2023/11/06","2502.37","134.03","5.66","2399.80","2502.37","2395.03","528584832","15225479879466","1991919718242366"
"2023/11/03","2368.34","25.22","1.08","2365.59","2370.28","2351.83","578661884","8040958355185","1887967827119667"
"2023/11/02","2343.12","41.56","1.81","2334.96","2351.91","2333.41","377461502","7679304707201","1868116867300456"
"2023/11/01","2301.56","23.57","1.03","2292.89","2312.15","2288.64","358157301","6739277694118","1835317635644088"
"2023/10/31","2277.99","-32.56","-1.41","2318.39","2322.45","2273.97","394982283","8233073267951","1815424104493218"
"2023/10/30","2310.55","7.74","0.34","2292.34","2317.75","2292.34","444842306","6954632697493","1840684678719156"
"2023/10/27","2302.81","3.73","0.16","2311.59","2321.84","2293.05","514875992","8009947757095","1834541640781010"
"2023/10/26","2299.08","-64.09","-2.71","2325.82","2330.55","2299.08","531072827","9251519468286","1832032727433878"
"2023/10/25","2363.17","-20.34","-0.85","2389.23","2389.90","2362.69","440806736","7832203371912","1882419020271508"
"2023/10/24","2383.51","26.49","1.12","2371.55","2384.14","2326.67","444165247","7949284788809","1898106189983309"
"2023/10/23","2357.02","-17.98","-0.76","2370.07","2375.79","2354.70","395930159","7117567308934","1877779359812775"
"2023/10/20","2375.00","-40.80","-1.69","2391.54","2394.67","2364.01","521208061","9295958394523","1892280648037690"
"2023/10/19","2415.80","-46.80","-1.90","2431.92","2433.45","2412.55","756946720","9054474474683","1923750595952743"
"2023/10/18","2462.60","2.43","0.10","2452.05","2465.33","2450.78","911545886","8897570511380","1960050710811028"
"2023/10/17","2460.17","23.93","0.98","2454.14","2466.87","2449.42","509375162","7711249611593","1958109580200441"
"2023/10/16","2436.24","-19.91","-0.81","2442.43","2453.77","2422.52","788356048","8393099868062","1939007776711860"
"2023/10/13","2456.15","-23.67","-0.95","2460.85","2466.62","2452.83","582883748","7164460134351","1955250761144788"
"2023/10/12","2479.82","29.74","1.21","2465.19","2479.82","2464.84","515451710","8929118335738","1973336798717055"
"2023/10/11","2450.08","47.50","1.98","2436.52","2463.56","2436.52","446948721","9140842858822","1949663797057905"
"2023/10/10","2402.58","-6.15","-0.26","2436.58","2448.24","2402.44","416004097","9505946256101","1912039050695451"
"2023/10/06","2408.73","5.13","0.21","2408.81","2421.18","2403.92","289391533","6522751201215","1916147548142909"
"2023/10/05","2403.60","-2.09","-0.09","2423.35","2426.61","2402.50","451722351","9141360528268","1912222092363540"
"2023/10/04","2405.69","-59.38","-2.41","2435.78","2435.78","2402.84","424858687","10244656479390","1909055583650353"
"2023/09/27","2465.07","2.10","0.09","2447.99","2469.72","2445.51","366240767","6761281210971","1955817974945697"
"2023/09/26","2462.97","-32.79","-1.31","2493.64","2495.00","2461.59","427476174","7060836784874","1953462572892867"
"2023/09/25","2495.76","-12.37","-0.49","2504.10","2509.38","2486.44","438614599","7459544543909","1979048154958762"
"2023/09/22","2508.13","-6.84","-0.27","2491.45","2513.26","2486.14","433184441","7063027557662","1988872132588095"
"2023/09/21","2514.97","-44.77","-1.75","2544.81","2549.63","2514.96","394676191","7803096968952","1995558490661582"
"2023/09/20","2559.74","0.53","0.02","2556.55","2566.62","2551.12","414667757","7571716473907","2030281560024885"
"2023/09/19","2559.21","-15.51","-0.60","2579.36","2583.25","2555.46","462342076","7827324888504","2030125918133751"
"2023/09/18","2574.72","-26.56","-1.02","2588.69","2596.55","2573.26","416289507","8772091336958","2042003996189398"
"2023/09/15","2601.28","28.39","1.10","2574.98","2611.00","2572.37","441729809","11995227354645","2063455243040381"
"2023/09/14","2572.89","38.19","1.51","2544.89","2572.89","2541.11","412509123","9577502570729","2041171663656079"
"2023/09/13","2534.70","-1.88","-0.07","2536.22","2549.38","2528.18","417576035","9270998787030","2011458185180640"
"2023/09/12","2536.58","-20.30","-0.79","2566.42","2568.55","2535.15","359409844","8927207173581","2012514265092078"
"2023/09/11","2556.88","9.20","0.36","2549.88","2556.89","2540.44","411070381","8340732785019","2027845902421820"
"2023/09/08","2547.68","-0.58","-0.02","2546.07","2550.96","2530.05","396289098","7718992573949","2020844443791382"
"2023/09/07","2548.26","-15.08","-0.59","2554.87","2562.42","2539.24","377270533","8325826544902","2021630331132979"
"2023/09/06","2563.34","-18.84","-0.73","2577.41","2585.98","2560.09","422126144","7626693242222","2033216059472071"
"2023/09/05","2582.18","-2.37","-0.09","2578.91","2586.65","2575.19","384579023","7590068827455","2048141824784019"
"2023/09/04","2584.55","20.84","0.81","2566.93","2584.55","2560.32","342072516","8699609485382","2050034095713728"
"2023/09/01","2563.71","7.44","0.29","2551.93","2568.42","2551.04","493367317","10029746225521","2033321986422776"
"2023/08/31","2556.27","-4.95","-0.19","2564.45","2568.06","2547.72","473168805","11334960549622","2025220695461871"
"2023/08/30","2561.22","9.06","0.35","2575.42","2578.62","2561.22","364003001","7765444580940","2029672344990078"
"2023/08/29","2552.16","8.75","0.34","2550.76","2556.98","2545.27","441365852","8275017288825","2022518944004773"
"2023/08/28","2543.41","24.27","0.96","2534.42","2543.41","2525.64","483587568","8221905557756","2015825900484564"
"2023/08/25","2519.14","-18.54","-0.73","2505.39","2526.37","2502.05","577383852","8302851242350","1997701491140052"
"2023/08/24","2537.68","32.18","1.28","2531.78","2539.44","2520.73","441140168","10099466159245","2012082432960052"
"2023/08/23","2505.50","-10.24","-0.41","2510.00","2517.51","2499.89","547169704","8577994375668","1986575329001002"
"2023/08/22","2515.74","6.94","0.28","2528.39","2533.43","2509.53","471808571","9270272191698","1994100740867846"
"2023/08/21","2508.80","4.30","0.17","2511.70","2524.41","2505.59","399458711","8524817791134","1988814382258267"
"2023/08/18","2504.50","-15.35","-0.61","2495.18","2519.60","2489.63","557784633","10776836338403","1985148457311986"
"2023/08/17","2519.85","-5.79","-0.23","2512.92","2520.56","2482.06","735132744","10727642034665","1997270646126948"
"2023/08/16","2525.64","-45.23","-1.76","2550.13","2550.53","2520.87","685135617","12025529175862","2001820771407344"
"2023/08/14","2570.87","-20.39","-0.79","2586.51","2592.91","2561.88","624377647","9995329422745","2037188539913534"
"2023/08/11","2591.26","-10.30","-0.40","2611.25","2616.84","2589.94","675389953","10513465946903","2053371190885501"
"2023/08/10","2601.56","-3.56","-0.14","2592.40","2601.56","2590.02","568155109","11349005297143","2061336432491364"
"2023/08/09","2605.12","31.14","1.21","2580.60","2608.98","2576.21","467526732","10326262318499","2064557282952060"
"2023/08/08","2573.98","-6.73","-0.26","2598.29","2601.41","2568.15","638418712","12435381687044","2039632194238017"
"2023/08/07","2580.71","-22.09","-0.85","2591.58","2607.36","2580.71","504070760","11894470648556","2044894112432768"
"2023/08/04","2602.80","-2.59","-0.10","2606.17","2612.30","2598.38","645750159","10971353099785","2061747668228013"
"2023/08/03","2605.39","-11.08","-0.42","2624.76","2625.45","2591.30","789416273","14921529311997","2064281827431858"
"2023/08/02","2616.47","-50.60","-1.90","2651.53","2660.90","2611.77","704673842","16001903871479","2073668620072458"
"2023/08/01","2667.07","34.49","1.31","2644.34","2668.21","2639.10","493643248","15851940748272","2113135323242811"
"2023/07/31","2632.58","24.26","0.93","2628.87","2639.45","2622.21","454242638","15688014180464","2085912205406965"
"2023/07/28","2608.32","4.51","0.17","2593.67","2609.54","2586.33","503267298","16807323601605","2068133763181406"
"2023/07/27","2603.81","11.45","0.44","2599.82","2617.61","2586.36","594162667","24076448886729","2064695783012002"
"2023/07/26","2592.36","-44.10","-1.67","2638.76","2639.21","2580.98","834106504","36348205551673","2054936941256622"
