일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2017/12/28","2467.49","30.82","1.26","2439.31","2467.51","2437.26","220336303","4274352132703","1605820911910270"
"2017/12/27","2436.67","9.33","0.38","2420.86","2436.68","2411.48","194850122","4845393986872","1584816760856774"
"2017/12/26","2427.34","-13.20","-0.54","2447.67","2457.19","2427.34","224640628","5641602541910","1578386110073661"
"2017/12/22","2440.54","10.71","0.44","2437.59","2444.57","2426.94","230412744","4801820423885","1587459773317036"
"2017/12/21","2429.83","-42.54","-1.72","2471.34","2471.73","2429.83","247330424","5351502434046","1579690638576792"
"2017/12/20","2472.37","-6.16","-0.25","2473.82","2484.50","2470.62","236176160","4748794271453","1607733541577158"
"2017/12/19","2478.53","-3.35","-0.13","2487.83","2498.67","2470.49","308390513","5239923476499","1612412730581815"
"2017/12/18","2481.88","-0.19","-0.01","2488.83","2488.83","2477.29","324358231","4477139154956","1614248576301355"
"2017/12/15","2482.07","12.59","0.51","2488.39","2495.08","2475.99","340758800","6047301989889","1614080828688818"
"2017/12/14","2469.48","-11.07","-0.45","2486.57","2514.61","2469.48","317786649","8276523381672","1606804196280957"
"2017/12/13","2480.55","19.55","0.79","2462.42","2481.92","2457.70","254953381","5121323451164","1613324380847097"
"2017/12/12","2461.00","-10.49","-0.42","2471.23","2471.43","2455.39","281191226","5292539448215","1601445481742917"
"2017/12/11","2471.49","7.49","0.30","2467.81","2471.99","2457.98","240137827","4613094251741","1607943364503335"
"2017/12/08","2464.00","2.02","0.08","2470.09","2473.17","2459.02","406381502","5484859462873","1602767069220294"
"2017/12/07","2461.98","-12.39","-0.50","2479.55","2480.85","2452.40","404853502","6307570109010","1598885756291950"
"2017/12/06","2474.37","-35.75","-1.42","2510.19","2510.47","2474.29","507624093","6651308074342","1605164241913800"
"2017/12/05","2510.12","8.45","0.34","2490.73","2513.68","2487.15","395429917","5926806208558","1627839539747175"
"2017/12/04","2501.67","26.26","1.06","2486.72","2501.67","2476.29","323846695","6056436249774","1622966082149765"
"2017/12/01","2475.41","-0.96","-0.04","2488.92","2488.92","2472.75","288567773","5740174453415","1606563650638214"
"2017/11/30","2476.37","-36.53","-1.45","2502.22","2506.32","2474.28","339022475","9397571888246","1607169300611141"
"2017/11/29","2512.90","-1.29","-0.05","2517.26","2524.41","2508.66","301208934","5277563304654","1630844154260128"
"2017/11/28","2514.19","6.38","0.25","2512.52","2521.06","2500.93","348243160","6518925879236","1631775247531632"
"2017/11/27","2507.81","-36.52","-1.44","2544.74","2546.71","2506.69","284887372","6257121135157","1627300680864277"
"2017/11/24","2544.33","7.18","0.28","2539.79","2544.33","2533.98","297938436","4477300958730","1652408594423036"
"2017/11/23","2537.15","-3.36","-0.13","2542.34","2544.58","2532.45","391292206","5174188966228","1647721422135036"
"2017/11/22","2540.51","9.81","0.39","2546.61","2553.22","2535.19","485670685","7600111570093","1649978495894348"
"2017/11/21","2530.70","3.03","0.12","2533.85","2539.88","2525.96","484887336","7019796676060","1642523340347930"
"2017/11/20","2527.67","-6.32","-0.25","2536.80","2542.62","2523.52","404259934","5868465645743","1640426168590907"
"2017/11/17","2533.99","-0.80","-0.03","2546.05","2559.10","2533.99","362192360","6649668643775","1644529848984065"
"2017/11/16","2534.79","16.54","0.66","2522.42","2538.28","2514.51","302931313","5633181615375","1645491389347119"
"2017/11/15","2518.25","-8.39","-0.33","2525.60","2526.61","2511.76","398215052","7283457455182","1634963776457914"
"2017/11/14","2526.64","-3.71","-0.15","2532.55","2532.95","2520.99","287771653","5999101866118","1640671062074470"
"2017/11/13","2530.35","-12.60","-0.50","2548.27","2552.28","2527.20","266530871","6175703615155","1644648379198724"
"2017/11/10","2542.95","-7.62","-0.30","2541.18","2547.61","2534.60","291525443","5517622126016","1652577269634808"
"2017/11/09","2550.57","-1.83","-0.07","2559.93","2559.93","2536.54","293539510","6931784295564","1657645910813359"
"2017/11/08","2552.40","6.96","0.27","2534.48","2558.74","2533.73","277039214","5716549898159","1658856803193087"
"2017/11/07","2545.44","-3.97","-0.16","2548.30","2554.13","2540.67","253921533","5665741936347","1654339822911220"
"2017/11/06","2549.41","-8.56","-0.33","2557.29","2559.90","2529.94","221187322","5433361687974","1657218530164353"
"2017/11/03","2557.97","11.61","0.46","2558.37","2558.37","2539.72","292766734","5515019279641","1663024031632955"
"2017/11/02","2546.36","-10.11","-0.40","2560.34","2561.63","2542.02","527727558","6255076761706","1658388200588871"
"2017/11/01","2556.47","33.04","1.31","2535.97","2556.47","2535.83","361796494","7567835319827","1664901460966523"
"2017/10/31","2523.43","21.50","0.86","2500.21","2528.32","2498.05","313787839","7694499061209","1642285252211340"
"2017/10/30","2501.93","5.30","0.21","2513.87","2513.87","2497.42","342006044","7020594596280","1626538441749277"
"2017/10/27","2496.63","16.00","0.64","2485.44","2499.15","2479.67","511225841","6342961623830","1624402401259813"
"2017/10/26","2480.63","-11.87","-0.48","2489.60","2495.99","2480.63","646882936","7143282820911","1613241151480574"
